date,ABEV3
2023-04-24,14.34
2023-04-20,14.6
2023-04-19,14.58
2023-04-18,14.63
2023-04-17,14.75
2023-04-14,14.65
2023-04-13,14.59
2023-04-12,14.76
2023-04-11,14.78
2023-04-10,14.46
2023-04-05,14.4
2023-04-04,14.43
2023-04-03,14.33
2023-03-31,14.33
2023-03-30,14.82
2023-03-29,14.81
2023-03-28,14.59
2023-03-27,13.93
2023-03-24,13.89
2023-03-23,13.78
2023-03-22,13.95
2023-03-21,13.95
2023-03-20,14.12
2023-03-17,14.22
2023-03-16,14.26
2023-03-15,14.02
2023-03-14,13.95
2023-03-13,13.61
2023-03-10,13.51
2023-03-09,13.6
2023-03-08,13.62
2023-03-07,13.43
2023-03-06,13.5
2023-03-03,13.11
2023-03-02,13.13
2023-03-01,13.47
2023-02-28,13.39
2023-02-27,13.4
2023-02-24,13.32
2023-02-23,13.25
2023-02-22,13.21
2023-02-17,13.2
2023-02-16,13.08
2023-02-15,13.23
2023-02-14,13.0
2023-02-13,13.13
2023-02-10,12.86
2023-02-09,13.02
2023-02-08,13.19
2023-02-07,12.96
2023-02-06,13.02
2023-02-03,12.98
2023-02-02,13.11
2023-02-01,13.18
2023-01-31,13.66
2023-01-30,13.53
2023-01-27,13.65
2023-01-26,13.74
2023-01-25,13.71
2023-01-24,13.61
2023-01-23,13.42
2023-01-20,13.53
2023-01-19,13.64
2023-01-18,13.78
2023-01-17,13.86
2023-01-16,13.2
2023-01-13,13.88
2023-01-12,14.1
2023-01-11,14.29
2023-01-10,14.54
2023-01-09,14.4
2023-01-06,14.32
2023-01-05,14.29
2023-01-04,14.25
2023-01-03,14.17
2023-01-02,14.19
2022-12-29,14.52
2022-12-28,14.55
2022-12-27,14.52
2022-12-26,14.52
2022-12-23,14.62
2022-12-22,14.42
2022-12-21,14.35
2022-12-20,14.52
2022-12-19,15.23
2022-12-16,14.85
2022-12-15,15.0
2022-12-14,15.13
2022-12-13,15.28
2022-12-12,15.24
2022-12-09,15.51
2022-12-08,15.7
2022-12-07,16.0
2022-12-06,16.05
2022-12-05,16.02
2022-12-02,16.33
2022-12-01,16.08
2022-11-30,15.92
2022-11-29,15.76
2022-11-28,15.91
2022-11-25,15.77
2022-11-24,16.04
2022-11-23,15.72
2022-11-22,15.66
2022-11-21,15.67
2022-11-18,15.62
2022-11-17,15.4
2022-11-16,15.44
2022-11-14,15.95
2022-11-11,16.09
2022-11-10,15.99
2022-11-09,16.48
2022-11-08,16.74
2022-11-07,16.36
2022-11-04,16.45
2022-11-03,16.02
2022-11-01,15.79
2022-10-31,16.0
2022-10-28,15.77
2022-10-27,15.56
2022-10-26,15.1
2022-10-25,14.91
2022-10-24,15.18
2022-10-21,15.31
2022-10-20,15.04
2022-10-19,14.89
2022-10-18,14.9
2022-10-17,14.92
2022-10-14,14.83
2022-10-13,15.01
2022-10-11,14.99
2022-10-10,15.2
2022-10-07,15.42
2022-10-06,16.03
2022-10-05,16.12
2022-10-04,16.24
2022-10-03,16.3
2022-09-30,15.54
2022-09-29,15.61
2022-09-28,15.72
2022-09-27,15.44
2022-09-26,15.27
2022-09-23,15.37
2022-09-22,15.67
2022-09-21,15.55
2022-09-20,15.76
2022-09-19,15.47
2022-09-16,15.27
2022-09-15,15.3
2022-09-14,15.38
2022-09-13,15.59
2022-09-12,15.71
2022-09-09,15.72
2022-09-08,15.5
2022-09-06,15.56
2022-09-05,15.55
2022-09-02,15.48
2022-09-01,15.43
2022-08-31,15.27
2022-08-30,15.39
2022-08-29,15.61
2022-08-26,15.67
2022-08-25,15.82
2022-08-24,15.8
2022-08-23,15.44
2022-08-22,15.42
2022-08-19,15.66
2022-08-18,16.0
2022-08-17,15.55
2022-08-16,15.5
2022-08-15,15.42
2022-08-12,15.21
2022-08-11,15.13
2022-08-10,15.16
2022-08-09,14.74
2022-08-08,14.8
2022-08-05,14.6
2022-08-04,14.68
2022-08-03,14.63
2022-08-02,14.71
2022-08-01,14.63
2022-07-29,14.93
2022-07-28,15.1
2022-07-27,14.98
2022-07-26,14.82
2022-07-25,14.68
2022-07-22,14.51
2022-07-21,14.56
2022-07-20,14.3
2022-07-19,14.48
2022-07-18,14.49
2022-07-15,14.59
2022-07-14,14.84
2022-07-13,14.57
2022-07-12,13.79
2022-07-11,14.1
2022-07-08,14.31
2022-07-07,14.23
2022-07-06,14.23
2022-07-05,14.09
2022-07-04,13.68
2022-07-01,13.76
2022-06-30,13.4
2022-06-29,13.61
2022-06-28,13.52
2022-06-27,13.72
2022-06-24,13.67
2022-06-23,13.33
2022-06-22,13.3
2022-06-21,13.17
2022-06-20,13.05
2022-06-17,13.03
2022-06-15,13.06
2022-06-14,13.15
2022-06-13,13.33
2022-06-10,13.59
2022-06-09,13.61
2022-06-08,13.76
2022-06-07,13.73
2022-06-06,14.05
2022-06-03,14.08
2022-06-02,14.12
2022-06-01,14.12
2022-05-31,14.19
2022-05-30,14.09
2022-05-27,14.21
2022-05-26,14.21
2022-05-25,14.04
2022-05-24,14.13
2022-05-23,14.08
2022-05-20,14.02
2022-05-19,14.14
2022-05-18,14.22
2022-05-17,14.73
2022-05-16,14.69
2022-05-13,14.54
2022-05-12,14.48
2022-05-11,13.95
2022-05-10,13.73
2022-05-09,13.69
2022-05-06,13.53
2022-05-05,13.73
2022-05-04,14.34
2022-05-03,14.24
2022-05-02,14.47
2022-04-29,14.52
2022-04-28,14.71
